employee_id,employee_name,department,job_title,salary
E001,Employee_001,Engineering,Engineer,55750
E002,Employee_002,Sales,Specialist,56500
E003,Employee_003,Marketing,Analyst,57250
E004,Employee_004,Finance,Manager,58000
E005,Employee_005,HR,Coordinator,58750
E006,Employee_006,Engineering,Engineer,59500
E007,Employee_007,Sales,Specialist,60250
E008,Employee_008,Marketing,Analyst,61000
E009,Employee_009,Finance,Manager,61750
E010,Employee_010,HR,Coordinator,62500
E011,Employee_011,Engineering,Engineer,63250
E012,Employee_012,Sales,Specialist,64000
E013,Employee_013,Marketing,Analyst,64750
E014,Employee_014,Finance,Manager,65500
E015,Employee_015,HR,Coordinator,66250
E016,Employee_016,Engineering,Engineer,67000
E017,Employee_017,Sales,Specialist,67750
E018,Employee_018,Marketing,Analyst,68500
E019,Employee_019,Finance,Manager,69250
E020,Employee_020,HR,Coordinator,70000
E021,Employee_021,Engineering,Engineer,70750
E022,Employee_022,Sales,Specialist,71500
E023,Employee_023,Marketing,Analyst,72250
E024,Employee_024,Finance,Manager,73000
E025,Employee_025,HR,Coordinator,73750
E026,Employee_026,Engineering,Engineer,74500
E027,Employee_027,Sales,Specialist,75250
E028,Employee_028,Marketing,Analyst,76000
E029,Employee_029,Finance,Manager,76750
E030,Employee_030,HR,Coordinator,77500
E031,Employee_031,Engineering,Engineer,78250
E032,Employee_032,Sales,Specialist,79000
E033,Employee_033,Marketing,Analyst,79750
E034,Employee_034,Finance,Manager,80500
E035,Employee_035,HR,Coordinator,81250
E036,Employee_036,Engineering,Engineer,82000
E037,Employee_037,Sales,Specialist,82750
E038,Employee_038,Marketing,Analyst,83500
E039,Employee_039,Finance,Manager,84250
E040,Employee_040,HR,Coordinator,85000
E041,Employee_041,Engineering,Engineer,85750
E042,Employee_042,Sales,Specialist,86500
E043,Employee_043,Marketing,Analyst,87250
E044,Employee_044,Finance,Manager,88000
E045,Employee_045,HR,Coordinator,88750
E046,Employee_046,Engineering,Engineer,89500
E047,Employee_047,Sales,Specialist,90250
E048,Employee_048,Marketing,Analyst,91000
E049,Employee_049,Finance,Manager,91750
E050,Employee_050,HR,Coordinator,92500
E051,Employee_051,Engineering,Engineer,93250
E052,Employee_052,Sales,Specialist,94000
E053,Employee_053,Marketing,Analyst,94750
E054,Employee_054,Finance,Manager,95500
E055,Employee_055,HR,Coordinator,96250
E056,Employee_056,Engineering,Engineer,97000
E057,Employee_057,Sales,Specialist,97750
E058,Employee_058,Marketing,Analyst,98500
E059,Employee_059,Finance,Manager,99250
E060,Employee_060,HR,Coordinator,100000
E061,Employee_061,Engineering,Engineer,100750
E062,Employee_062,Sales,Specialist,101500
E063,Employee_063,Marketing,Analyst,102250
E064,Employee_064,Finance,Manager,103000
E065,Employee_065,HR,Coordinator,103750
E066,Employee_066,Engineering,Engineer,104500
E067,Employee_067,Sales,Specialist,105250
E068,Employee_068,Marketing,Analyst,106000
E069,Employee_069,Finance,Manager,106750
E070,Employee_070,HR,Coordinator,107500
E071,Employee_071,Engineering,Engineer,108250
E072,Employee_072,Sales,Specialist,109000
E073,Employee_073,Marketing,Analyst,109750
E074,Employee_074,Finance,Manager,110500
E075,Employee_075,HR,Coordinator,111250
E076,Employee_076,Engineering,Engineer,112000
E077,Employee_077,Sales,Specialist,112750
E078,Employee_078,Marketing,Analyst,113500
E079,Employee_079,Finance,Manager,114250
E080,Employee_080,HR,Coordinator,115000
E081,Employee_081,Engineering,Engineer,115750
E082,Employee_082,Sales,Specialist,116500
E083,Employee_083,Marketing,Analyst,117250
E084,Employee_084,Finance,Manager,118000
E085,Employee_085,HR,Coordinator,118750
E086,Employee_086,Engineering,Engineer,119500
E087,Employee_087,Sales,Specialist,120250
E088,Employee_088,Marketing,Analyst,121000
E089,Employee_089,Finance,Manager,121750
E090,Employee_090,HR,Coordinator,122500
E091,Employee_091,Engineering,Engineer,123250
E092,Employee_092,Sales,Specialist,124000
E093,Employee_093,Marketing,Analyst,124750
E094,Employee_094,Finance,Manager,125500
E095,Employee_095,HR,Coordinator,126250
E096,Employee_096,Engineering,Engineer,127000
E097,Employee_097,Sales,Specialist,127750
E098,Employee_098,Marketing,Analyst,128500
E099,Employee_099,Finance,Manager,129250
E100,Employee_100,HR,Coordinator,130000
